"אחז","ב"
"איבד","את"
"אכל","את"
"אנס","את"
"בדק","את"
"בהה","ב"
"בזבז","את"
"ביטל","את"
"בלע","את"
"בנה","את"
"בעט","ב"
"בער","ב"
"גזר","את"
"גיהץ","את"
"גילח","את"
"גירד","את"
"דרך","על"
"דרס","את"
"האריך","את"
"הבליט","את"
"הגדיל","את"
"הגשים","את"
"הוריד","את"
"הזיז","ל"
"הזיק","ל"
"החזיק","את"
"החליק","מ"
"החמיץ","את"
"החריב","את"
"החרים","את"
"הטריף","את"
"הידהד","על"
"הכביד","על"
"הכה","ב"
"המס","את"
"הסתכל","על"
"העיב","על"
"העיק","על"
"העלה","את"
"העסיק","את"
"הפסיק","את"
"הפעיל","את"
"הפציץ","את"
"הציל","את"
"הציף","את"
"הציץ","ל"
"הקדים","את"
"הקיא","ב"
"הקל","על"
"הקפיא","את"
"הרג","את"
"הרגיע","את"
"הרדים","את"
"הרחיב","את"
"הרטיב","את"
"הרטיט","את"
"הריח","את"
"הרים","את"
"הרס","את"
"הרעיד","את"
"הרעיל","את"
"השחית","את"
"השפיע","על"
"השתין","על"
"התנגש","ב"
"התעלל","ב"
"התעלק","על"
"התערב","ב"
"זיהם","את"
"זיין","את"
"חבט","ב"
"חבש","את"
"חדר","ל"
"חורר","את"
"חיבל","ב"
"חיבק","את"
"חידד","את"
"חידש","את"
"חיזק","את"
"חיטט","ב"
"חימם","את"
"חיסל","את"
"חירב","את"
"חלחל","ל"
"חנה","ב"
"חנק","את"
"חסם","את"
"חפן","את"
"חפף","את"
"חרבן","על"
"חתך","את"
"טיפל","ב"
"טיפס","על"
"טלטל","את"
"טפח","על"
"טשטש","את"
"ייבש","את"
"יישר","את"
"ירד","מ"
"ירה","ב"
"ירק","ב"
"כבש","את"
"כיבה","את"
"כיבס","את"
"כיווץ","את"
"כיסה","את"
"כרסם","את"
"כרת","את"
"לחץ","על"
"ליטף","את"
"ליקק","את"
"לכלך","את"
"לעס","את"
"מוטט","את"
"מזמז","את"
"מחץ","את"
"מילא","את"
"מימן","את"
"מישש","את"
"מלק","את"
"מעך","את"
"מצץ","את"
"מרט","את"
"משך","ב"
"מתח","את"
"נגס","ב"
"נגע","ב"
"נזל","מ"
"נחקק","ב"
"ניגב","את"
"ניסר","את"
"ניפח","את"
"ניפץ","את"
"ניקה","את"
"נישק","את"
"ניתח","את"
"נפל","מ"
"נרדם","על"
"נשך","את"
"נשף","ב"
"נתקע","ב"
"סיבך","את"
"סיבן","את"
"סיים","את"
"עדכן","את"
"עזב","את"
"עטף","את"
"עיוות","את"
"עיטר","את"
"עיכב","את"
"עיסה","את"
"עיצב","את"
"עיקל","את"
"עיקם","את"
"עצר","את"
"עקר","את"
"ערער","את"
"ערף","את"
"פגע","ב"
"פירק","את"
"פלש","ל"
"פקח","את"
"פרץ","ל"
"צבט","ב"
"צבע","את"
"צמח","על"
"צרם","ב"
"קדח","ב"
"קטל","את"
"קטע","את"
"קיבע","את"
"קיצץ","את"
"קיצר","את"
"קישט","את"
"קלקל","את"
"קרע","את"
"קשר","את"
"רומם","את"
"רחרח","את"
"ריסס","את"
"ריסק","את"
"רמס","את"
"רצח","את"
"שאב","את"
"שבר","את"
"שחט","את"
"שחרר","את"
"שטף","את"
"שיבש","את"
"שיגע","את"
"שיחק","ב"
"שימר","את"
"שינה","את"
"שיפץ","את"
"שיפר","את"
"שיתק","את"
"שלט","ב"
"שמר","את"
"שרט","את"
"שרף","את"
"שתה","את"
"תיקן","את"
"תלש","את"
"תפס","את"
